date,competition,season,home_team,away_team,home_goals,away_goals,neutral_site,home_odds,draw_odds,away_odds,home_xg,away_xg,result,actual_outcome_id,source_file
2022-01-09,Premier League 2022-23,2022-23,Leicester,Man United,0,1,False,3.41,3.81,2.07,,,A,2,2223_E0.csv
2022-01-09,Serie A 2022-23,2022-23,Atalanta,Torino,3,1,False,1.71,3.94,4.95,,,H,0,2223_I1.csv
2022-01-09,Serie A 2022-23,2022-23,Bologna,Salernitana,1,1,False,1.88,3.57,4.26,,,D,1,2223_I1.csv
2022-01-10,Bundesliga 2022-23,2022-23,Ein Frankfurt,Union Berlin,2,0,False,2.27,3.44,3.21,,,H,0,2223_D1.csv
2022-01-10,Bundesliga 2022-23,2022-23,FC Koln,Dortmund,3,2,False,3.28,3.84,2.09,,,H,0,2223_D1.csv
2022-01-10,Bundesliga 2022-23,2022-23,Freiburg,Mainz,2,1,False,2.1,3.57,3.48,,,H,0,2223_D1.csv
2022-01-10,Bundesliga 2022-23,2022-23,RB Leipzig,Bochum,4,0,False,1.24,6.62,11.29,,,H,0,2223_D1.csv
2022-01-10,Bundesliga 2022-23,2022-23,Werder Bremen,M'gladbach,5,1,False,2.58,3.76,2.56,,,H,0,2223_D1.csv
2022-01-10,Bundesliga 2022-23,2022-23,Wolfsburg,Stuttgart,3,2,False,2.38,3.47,2.99,,,H,0,2223_D1.csv
2022-01-10,La Liga 2022-23,2022-23,Cadiz,Villarreal,0,0,False,5.68,3.97,1.62,,,D,1,2223_SP1.csv
2022-01-10,La Liga 2022-23,2022-23,Getafe,Valladolid,2,3,False,2.31,3.1,3.45,,,A,2,2223_SP1.csv
2022-01-10,La Liga 2022-23,2022-23,Mallorca,Barcelona,0,1,False,8.63,5.3,1.35,,,A,2,2223_SP1.csv
2022-01-10,La Liga 2022-23,2022-23,Sevilla,Ath Madrid,0,2,False,3.05,3.19,2.49,,,A,2,2223_SP1.csv
2022-01-10,Ligue 1 2022-23,2022-23,Paris SG,Nice,2,1,False,1.17,8.29,15.35,,,H,0,2223_F1.csv
2022-01-10,Ligue 1 2022-23,2022-23,Strasbourg,Rennes,1,3,False,2.99,3.5,2.35,,,A,2,2223_F1.csv
2022-01-10,Premier League 2022-23,2022-23,Arsenal,Tottenham,3,1,False,2.08,3.7,3.48,,,H,0,2223_E0.csv
2022-01-10,Premier League 2022-23,2022-23,Bournemouth,Brentford,0,0,False,3.36,3.44,2.21,,,D,1,2223_E0.csv
2022-01-10,Premier League 2022-23,2022-23,Crystal Palace,Chelsea,1,2,False,4.29,3.57,1.9,,,A,2,2223_E0.csv
2022-01-10,Premier League 2022-23,2022-23,Fulham,Newcastle,1,4,False,3.04,3.46,2.37,,,A,2,2223_E0.csv
2022-01-10,Premier League 2022-23,2022-23,Liverpool,Brighton,3,3,False,1.37,5.33,8.25,,,D,1,2223_E0.csv
2022-01-10,Premier League 2022-23,2022-23,Southampton,Everton,1,2,False,2.19,3.41,3.44,,,A,2,2223_E0.csv
2022-01-10,Premier League 2022-23,2022-23,West Ham,Wolves,2,0,False,1.96,3.48,4.12,,,H,0,2223_E0.csv
2022-01-10,Serie A 2022-23,2022-23,Empoli,Milan,1,3,False,5.47,4.13,1.61,,,A,2,2223_I1.csv
2022-01-10,Serie A 2022-23,2022-23,Inter,Roma,1,2,False,2.08,3.5,3.61,,,A,2,2223_I1.csv
2022-01-10,Serie A 2022-23,2022-23,Napoli,Torino,3,1,False,1.6,4.13,5.57,,,H,0,2223_I1.csv
2022-02-09,Bundesliga 2022-23,2022-23,Dortmund,Hoffenheim,1,0,False,1.66,4.54,4.59,,,H,0,2223_D1.csv
2022-02-09,La Liga 2022-23,2022-23,Celta,Cadiz,3,0,False,1.67,3.65,5.93,,,H,0,2223_SP1.csv
2022-02-10,Bundesliga 2022-23,2022-23,Hertha,Hoffenheim,1,1,False,2.82,3.73,2.37,,,D,1,2223_D1.csv
2022-02-10,Bundesliga 2022-23,2022-23,Schalke 04,Augsburg,2,3,False,1.98,3.66,3.76,,,A,2,2223_D1.csv
2022-02-10,La Liga 2022-23,2022-23,Celta,Betis,1,0,False,2.48,3.37,2.9,,,H,0,2223_SP1.csv
2022-02-10,La Liga 2022-23,2022-23,Espanol,Valencia,2,2,False,2.72,3.26,2.7,,,D,1,2223_SP1.csv
2022-02-10,La Liga 2022-23,2022-23,Girona,Sociedad,3,5,False,3.26,3.24,2.32,,,A,2,2223_SP1.csv
2022-02-10,La Liga 2022-23,2022-23,Real Madrid,Osasuna,1,1,False,1.33,5.48,9.22,,,D,1,2223_SP1.csv
2022-02-10,Ligue 1 2022-23,2022-23,Ajaccio,Clermont,1,3,False,2.24,3.16,3.53,,,A,2,2223_F1.csv
2022-02-10,Ligue 1 2022-23,2022-23,Auxerre,Brest,1,1,False,2.69,3.46,2.6,,,D,1,2223_F1.csv
2022-02-10,Ligue 1 2022-23,2022-23,Lens,Lyon,1,0,False,2.54,3.75,2.61,,,H,0,2223_F1.csv
2022-02-10,Ligue 1 2022-23,2022-23,Lorient,Lille,2,1,False,2.86,3.62,2.38,,,H,0,2223_F1.csv
2022-02-10,Ligue 1 2022-23,2022-23,Monaco,Nantes,4,1,False,1.55,4.44,5.6,,,H,0,2223_F1.csv
2022-02-10,Ligue 1 2022-23,2022-23,Toulouse,Montpellier,4,2,False,1.92,3.8,3.82,,,H,0,2223_F1.csv
2022-02-10,Ligue 1 2022-23,2022-23,Troyes,Reims,2,2,False,2.51,3.38,2.83,,,D,1,2223_F1.csv
2022-02-10,Premier League 2022-23,2022-23,Leeds,Aston Villa,0,0,False,2.36,3.46,3.03,,,D,1,2223_E0.csv
2022-02-10,Premier League 2022-23,2022-23,Man City,Man United,6,3,False,1.35,5.7,8.0,,,H,0,2223_E0.csv
2022-02-10,Serie A 2022-23,2022-23,Atalanta,Fiorentina,1,0,False,1.97,3.56,3.88,,,H,0,2223_I1.csv
2022-02-10,Serie A 2022-23,2022-23,Juventus,Bologna,3,0,False,1.51,4.3,6.48,,,H,0,2223_I1.csv
2022-02-10,Serie A 2022-23,2022-23,Lazio,Spezia,4,0,False,1.4,4.96,7.65,,,H,0,2223_I1.csv
2022-02-10,Serie A 2022-23,2022-23,Lecce,Cremonese,1,1,False,2.08,3.47,3.6,,,D,1,2223_I1.csv
2022-02-10,Serie A 2022-23,2022-23,Sampdoria,Monza,0,3,False,2.32,3.34,3.16,,,A,2,2223_I1.csv
2022-02-10,Serie A 2022-23,2022-23,Sassuolo,Salernitana,5,0,False,2.04,3.68,3.5,,,H,0,2223_I1.csv
2022-03-09,Bundesliga 2022-23,2022-23,Bochum,Werder Bremen,0,2,False,2.92,3.65,2.35,,,A,2,2223_D1.csv
2022-03-09,Bundesliga 2022-23,2022-23,Ein Frankfurt,RB Leipzig,4,0,False,3.56,3.74,2.03,,,H,0,2223_D1.csv
2022-03-09,Bundesliga 2022-23,2022-23,Leverkusen,Freiburg,2,3,False,1.92,3.88,3.81,,,A,2,2223_D1.csv
2022-03-09,Bundesliga 2022-23,2022-23,Stuttgart,Schalke 04,1,1,False,1.78,4.01,4.32,,,D,1,2223_D1.csv
2022-03-09,Bundesliga 2022-23,2022-23,Union Berlin,Bayern Munich,1,1,False,7.43,5.54,1.38,,,D,1,2223_D1.csv
2022-03-09,Bundesliga 2022-23,2022-23,Wolfsburg,FC Koln,2,4,False,2.12,3.52,3.49,,,A,2,2223_D1.csv
2022-03-09,La Liga 2022-23,2022-23,Mallorca,Girona,1,1,False,2.17,3.16,3.79,,,D,1,2223_SP1.csv
2022-03-09,La Liga 2022-23,2022-23,Real Madrid,Betis,2,1,False,1.43,5.13,6.82,,,H,0,2223_SP1.csv
2022-03-09,La Liga 2022-23,2022-23,Sevilla,Barcelona,0,3,False,4.48,3.74,1.82,,,A,2,2223_SP1.csv
2022-03-09,La Liga 2022-23,2022-23,Sociedad,Ath Madrid,1,1,False,2.96,3.17,2.58,,,D,1,2223_SP1.csv
2022-03-09,Ligue 1 2022-23,2022-23,Auxerre,Marseille,0,2,False,4.7,4.04,1.71,,,A,2,2223_F1.csv
2022-03-09,Ligue 1 2022-23,2022-23,Lyon,Angers,5,0,False,1.3,5.93,9.35,,,H,0,2223_F1.csv
2022-03-09,Ligue 1 2022-23,2022-23,Nantes,Paris SG,0,3,False,9.6,6.27,1.28,,,A,2,2223_F1.csv
2022-03-09,Premier League 2022-23,2022-23,Aston Villa,Man City,1,1,False,8.75,5.63,1.34,,,D,1,2223_E0.csv
2022-03-09,Premier League 2022-23,2022-23,Brentford,Leeds,5,2,False,2.17,3.59,3.33,,,H,0,2223_E0.csv
2022-03-09,Premier League 2022-23,2022-23,Chelsea,West Ham,2,1,False,1.55,4.38,6.03,,,H,0,2223_E0.csv
2022-03-09,Premier League 2022-23,2022-23,Everton,Liverpool,0,0,False,7.77,5.06,1.4,,,D,1,2223_E0.csv
2022-03-09,Premier League 2022-23,2022-23,Newcastle,Crystal Palace,0,0,False,2.05,3.48,3.8,,,D,1,2223_E0.csv
2022-03-09,Premier League 2022-23,2022-23,Nott'm Forest,Bournemouth,2,3,False,2.02,3.47,3.89,,,A,2,2223_E0.csv
2022-03-09,Premier League 2022-23,2022-23,Tottenham,Fulham,2,1,False,1.49,4.62,6.54,,,H,0,2223_E0.csv
2022-03-09,Premier League 2022-23,2022-23,Wolves,Southampton,1,0,False,2.24,3.4,3.33,,,H,0,2223_E0.csv
2022-03-09,Serie A 2022-23,2022-23,Fiorentina,Juventus,1,1,False,3.06,3.22,2.46,,,D,1,2223_I1.csv
2022-03-09,Serie A 2022-23,2022-23,Lazio,Napoli,1,2,False,2.93,3.56,2.38,,,A,2,2223_I1.csv
2022-03-09,Serie A 2022-23,2022-23,Milan,Inter,3,2,False,2.79,3.3,2.63,,,H,0,2223_I1.csv
2022-03-10,La Liga 2022-23,2022-23,Vallecano,Elche,2,1,False,1.73,3.68,5.13,,,H,0,2223_SP1.csv
2022-03-10,Premier League 2022-23,2022-23,Leicester,Nott'm Forest,4,0,False,1.76,4.05,4.41,,,H,0,2223_E0.csv
2022-03-10,Serie A 2022-23,2022-23,Verona,Udinese,1,2,False,3.1,3.51,2.27,,,A,2,2223_I1.csv
2022-04-09,Bundesliga 2022-23,2022-23,Augsburg,Hertha,0,2,False,2.54,3.37,2.84,,,A,2,2223_D1.csv
2022-04-09,Bundesliga 2022-23,2022-23,M'gladbach,Mainz,0,1,False,2.23,3.7,3.08,,,A,2,2223_D1.csv
2022-04-09,La Liga 2022-23,2022-23,Ath Bilbao,Espanol,0,1,False,1.57,3.98,6.46,,,A,2,2223_SP1.csv
