model,matches,accuracy,log_loss,brier,exact_score_hit_rate,bets,roi,profit,max_drawdown,ending_bankroll
market_no_vig,6582,0.5404132482528107,0.9696929565057599,0.576789210280839,,0,0.0,0.0,0.0,1000.0
xgboost_conservative_all,6582,0.5341841385597083,0.9776507159509743,0.5813087303642264,,1300,-0.045256885692306036,-775.27496935205,-0.8934607452717988,224.72503064795052
xgboost_conservative_all_poisson_blend,6582,0.5332725615314494,0.979429214730981,0.58261312461673,,2143,-0.07122319674302993,-914.701587530481,-0.9221713479985548,85.29841246951865
xgboost_current_all_poisson_blend,6582,0.5303859009419629,0.9837417966024742,0.5852214955369216,,3077,-0.04190169556813834,-882.0453407935026,-0.9265527612735386,117.95465920649758
xgboost_current_all,6582,0.531145548465512,0.9884618809641585,0.5877311104665316,,3371,-0.019058970138367323,-914.4145739766338,-0.9602909382231624,85.5854260233649
logistic_all_poisson_blend,6582,0.5183834700698876,0.9906613854915823,0.5903073195459784,,4793,-0.06398433201800373,-987.2143013459681,-0.9884132848300526,12.785698654031773
random_forest_all_poisson_blend,6582,0.5186873290793071,0.9911666932226056,0.5904528649328327,,4409,-0.10460293423457469,-985.6118560524482,-0.9870127854688626,14.38814394755245
elo_poisson_blend,6582,0.5176238225463385,0.9960997421995158,0.5944805223017476,,3202,-0.11802156235726541,-999.4180937432054,-0.999480427391805,0.5819062567943687
random_forest_all,6582,0.5113947128532361,0.9963961093116447,0.5944900903961726,,5308,-0.06840319109981785,-996.6991559044418,-0.9976194900718038,3.3008440955572356
extra_trees_all_poisson_blend,6582,0.5197508356122759,0.9964733658593236,0.5943930546080347,,4514,-0.08493891321817401,-992.2323655970667,-0.9947206350956287,7.76763440293521
hist_gradient_all_poisson_blend,6582,0.5252202977818292,0.9964967323429907,0.5921952248862873,,4116,-0.01666370635314068,-783.8787001767904,-0.9532151280781035,216.12129982321107
elo_baseline,6582,0.5159525979945305,0.9975537806981022,0.5955482198716014,,3312,-0.1560763283330331,-999.7665838344863,-0.9998003844900014,0.2334161655140404
xgboost_conservative_no_market_poisson_blend,6582,0.5153448799756912,0.9984684040902149,0.5957130252553274,,3947,-0.11835674422266221,-999.8365603497393,-0.9998570225934351,0.16343965026056484
logistic_all,6582,0.4971133394105135,1.0001851679998484,0.5972341063919047,,5740,-0.1366001833861868,-999.614335638223,-0.9997113793036789,0.38566436177717905
xgboost_conservative_no_market,6582,0.5186873290793071,1.0002149092459949,0.5967208781858355,,3972,-0.13583645429041868,-999.943821685688,-0.9999476526678622,0.05617831431281394
extra_trees_all,6582,0.5079003342449103,1.0014676996462926,0.5984653066684007,,5759,-0.07221924118930163,-999.110806761683,-0.9992715782710964,0.8891932383169834
logistic_no_market_poisson_blend,6582,0.5042540261318748,1.012909929281527,0.6039946903723541,,4793,-0.14138990197925672,-999.0231834566704,-0.9990718200842547,0.9768165433304588
hist_gradient_all,6582,0.5161045274992404,1.0194226348653945,0.6027027172793926,,4699,-0.02407704915161958,-943.0779820772599,-0.9563065142589409,56.92201792274189
hist_gradient_no_market_poisson_blend,6582,0.5120024308720753,1.0198549618526855,0.6070170388106867,,4849,-0.040449898376357846,-993.1280169185468,-0.9941465714171628,6.871983081452791
logistic_no_market,6582,0.4905803707079915,1.0218129997703436,0.609691415007965,,5685,-0.08008032321791216,-999.4148204803125,-0.9994439571268644,0.5851795196878432
poisson_goals,6582,0.5025828015800669,1.0234683864731968,0.6108486185078733,,4914,-0.1265342997882251,-999.189502937417,-0.9995577899588617,0.810497062582886
hist_gradient_no_market,6582,0.5085080522637496,1.045148786676209,0.6184171325596963,,5194,-0.024822498548357153,-997.7121886242888,-0.9987863522682248,2.2878113757135936
